,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,643,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,382,0,0,0,0,0,4,0,0,7,0,0,0,0,1,3,0
6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,32200,0,2,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,26,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0
11,14,0,0,0,0,6,0,0,0,4,0,28998,0,0,4,0,1,2,0,0,35,0
12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,45,0,0,0,0,0,6,0,24,0,0,2,0,0,0,8,0
14,0,0,0,0,0,1,0,0,0,7,0,0,0,0,264,0,48,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,43,0,0,7,0,465,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,84203,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,309,0,0
20,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,152,0
21,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
